2N,p,q,N,N-p,ord_2(Delta),static_conduit_primes,dynamic_conduit_primes,boundary_type
10,3,7,5,2,12,5,—,small
12,5,7,6,1,12,3,—,generic
14,3,11,7,4,12,7,—,small
16,3,13,8,5,12,—,5,small
16,5,11,8,3,12,—,3,generic
18,5,13,9,4,12,3,—,generic
18,7,11,9,2,12,3,—,generic
20,3,17,10,7,12,5,7,small
20,7,13,10,3,12,5,3,generic
22,3,19,11,8,12,11,—,small
22,5,17,11,6,12,11,3,generic
24,5,19,12,7,12,3,7,generic
24,7,17,12,5,12,3,5,generic
24,11,13,12,1,12,3,—,generic
26,3,23,13,10,12,13,5,small
26,7,19,13,6,12,13,3,generic
28,5,23,14,9,12,7,3,generic
28,11,17,14,3,12,7,3,generic
30,7,23,15,8,12,3×5,—,generic
30,11,19,15,4,12,3×5,—,generic
30,13,17,15,2,12,3×5,—,generic
32,3,29,16,13,12,—,13,small
32,13,19,16,3,12,—,3,generic
34,3,31,17,14,12,17,7,small
34,5,29,17,12,12,17,3,generic
34,11,23,17,6,12,17,3,generic
36,5,31,18,13,12,3,13,generic
36,7,29,18,11,12,3,11,generic
36,13,23,18,5,12,3,5,generic
36,17,19,18,1,12,3,—,generic
38,7,31,19,12,12,19,3,generic
40,3,37,20,17,12,5,17,small
40,11,29,20,9,12,5,3,generic
40,17,23,20,3,12,5,3,generic
42,5,37,21,16,12,3×7,—,generic
42,11,31,21,10,12,3×7,5,generic
42,13,29,21,8,12,3×7,—,generic
42,19,23,21,2,12,3×7,—,generic
44,3,41,22,19,12,11,19,small
44,7,37,22,15,12,11,3×5,generic
44,13,31,22,9,12,11,3,generic
46,3,43,23,20,12,23,5,small
46,5,41,23,18,12,23,3,generic
46,17,29,23,6,12,23,3,generic
48,5,43,24,19,12,3,19,generic
48,7,41,24,17,12,3,17,generic
48,11,37,24,13,12,3,13,generic
48,17,31,24,7,12,3,7,generic
48,19,29,24,5,12,3,5,generic
50,3,47,25,22,12,5,11,small
50,7,43,25,18,12,5,3,generic
50,13,37,25,12,12,5,3,generic
50,19,31,25,6,12,5,3,generic
52,5,47,26,21,12,13,3×7,generic
52,11,41,26,15,12,13,3×5,generic
52,23,29,26,3,12,13,3,generic
54,7,47,27,20,12,3,5,generic
54,11,43,27,16,12,3,—,generic
54,13,41,27,14,12,3,7,generic
54,17,37,27,10,12,3,5,generic
54,23,31,27,4,12,3,—,generic
56,3,53,28,25,12,7,5,small
56,13,43,28,15,12,7,3×5,generic
56,19,37,28,9,12,7,3,generic
58,5,53,29,24,12,29,3,generic
58,11,47,29,18,12,29,3,generic
58,17,41,29,12,12,29,3,generic
60,7,53,30,23,12,3×5,23,generic
60,13,47,30,17,12,3×5,17,generic
60,17,43,30,13,12,3×5,13,generic
60,19,41,30,11,12,3×5,11,generic
60,23,37,30,7,12,3×5,7,generic
60,29,31,30,1,12,3×5,—,generic
62,3,59,31,28,12,31,7,small
62,19,43,31,12,12,31,3,generic
64,3,61,32,29,12,—,29,small
64,5,59,32,27,12,—,3,generic
64,11,53,32,21,12,—,3×7,generic
64,17,47,32,15,12,—,3×5,generic
64,23,41,32,9,12,—,3,generic
66,5,61,33,28,12,3×11,7,generic
66,7,59,33,26,12,3×11,13,generic
66,13,53,33,20,12,3×11,5,generic
66,19,47,33,14,12,3×11,7,generic
66,23,43,33,10,12,3×11,5,generic
66,29,37,33,4,12,3×11,—,generic
68,7,61,34,27,12,17,3,generic
68,31,37,34,3,12,17,3,generic
70,3,67,35,32,12,5×7,—,small
70,11,59,35,24,12,5×7,3,generic
70,17,53,35,18,12,5×7,3,generic
70,23,47,35,12,12,5×7,3,generic
70,29,41,35,6,12,5×7,3,generic
72,5,67,36,31,12,3,31,generic
72,11,61,36,25,12,3,5,generic
72,13,59,36,23,12,3,23,generic
72,19,53,36,17,12,3,17,generic
72,29,43,36,7,12,3,7,generic
72,31,41,36,5,12,3,5,generic
74,3,71,37,34,12,37,17,small
74,7,67,37,30,12,37,3×5,generic
74,13,61,37,24,12,37,3,generic
74,31,43,37,6,12,37,3,generic
76,3,73,38,35,12,19,5×7,small
76,5,71,38,33,12,19,3×11,generic
76,17,59,38,21,12,19,3×7,generic
76,23,53,38,15,12,19,3×5,generic
76,29,47,38,9,12,19,3,generic
78,5,73,39,34,12,3×13,17,generic
78,7,71,39,32,12,3×13,—,generic
78,11,67,39,28,12,3×13,7,generic
78,17,61,39,22,12,3×13,11,generic
78,19,59,39,20,12,3×13,5,generic
78,31,47,39,8,12,3×13,—,generic
78,37,41,39,2,12,3×13,—,generic
80,7,73,40,33,12,5,3×11,generic
80,13,67,40,27,12,5,3,generic
80,19,61,40,21,12,5,3×7,generic
80,37,43,40,3,12,5,3,generic
82,3,79,41,38,12,41,19,small
82,11,71,41,30,12,41,3×5,generic
82,23,59,41,18,12,41,3,generic
82,29,53,41,12,12,41,3,generic
84,5,79,42,37,12,3×7,37,generic
84,11,73,42,31,12,3×7,31,generic
84,13,71,42,29,12,3×7,29,generic
84,17,67,42,25,12,3×7,5,generic
84,23,61,42,19,12,3×7,19,generic
84,31,53,42,11,12,3×7,11,generic
84,37,47,42,5,12,3×7,5,generic
84,41,43,42,1,12,3×7,—,generic
86,3,83,43,40,12,43,5,small
86,7,79,43,36,12,43,3,generic
86,13,73,43,30,12,43,3×5,generic
86,19,67,43,24,12,43,3,generic
88,5,83,44,39,12,11,3×13,generic
88,17,71,44,27,12,11,3,generic
88,29,59,44,15,12,11,3×5,generic
88,41,47,44,3,12,11,3,generic
90,7,83,45,38,12,3×5,19,generic
90,11,79,45,34,12,3×5,17,generic
90,17,73,45,28,12,3×5,7,generic
90,19,71,45,26,12,3×5,13,generic
90,23,67,45,22,12,3×5,11,generic
90,29,61,45,16,12,3×5,—,generic
90,31,59,45,14,12,3×5,7,generic
90,37,53,45,8,12,3×5,—,generic
90,43,47,45,2,12,3×5,—,generic
92,3,89,46,43,12,23,43,small
92,13,79,46,33,12,23,3×11,generic
92,19,73,46,27,12,23,3,generic
92,31,61,46,15,12,23,3×5,generic
94,5,89,47,42,12,47,3×7,generic
94,11,83,47,36,12,47,3,generic
94,23,71,47,24,12,47,3,generic
94,41,53,47,6,12,47,3,generic
96,7,89,48,41,12,3,41,generic
96,13,83,48,35,12,3,5×7,generic
96,17,79,48,31,12,3,31,generic
96,23,73,48,25,12,3,5,generic
96,29,67,48,19,12,3,19,generic
96,37,59,48,11,12,3,11,generic
96,43,53,48,5,12,3,5,generic
98,19,79,49,30,12,7,3×5,generic
98,31,67,49,18,12,7,3,generic
98,37,61,49,12,12,7,3,generic
100,3,97,50,47,12,5,47,small
100,11,89,50,39,12,5,3×13,generic
100,17,83,50,33,12,5,3×11,generic
100,29,71,50,21,12,5,3×7,generic
100,41,59,50,9,12,5,3,generic
100,47,53,50,3,12,5,3,generic
102,5,97,51,46,12,3×17,23,generic
102,13,89,51,38,12,3×17,19,generic
102,19,83,51,32,12,3×17,—,generic
102,23,79,51,28,12,3×17,7,generic
102,29,73,51,22,12,3×17,11,generic
102,31,71,51,20,12,3×17,5,generic
102,41,61,51,10,12,3×17,5,generic
102,43,59,51,8,12,3×17,—,generic
104,3,101,52,49,12,13,7,small
104,7,97,52,45,12,13,3×5,generic
104,31,73,52,21,12,13,3×7,generic
104,37,67,52,15,12,13,3×5,generic
104,43,61,52,9,12,13,3,generic
106,3,103,53,50,12,53,5,small
106,5,101,53,48,12,53,3,generic
106,17,89,53,36,12,53,3,generic
106,23,83,53,30,12,53,3×5,generic
106,47,59,53,6,12,53,3,generic
108,5,103,54,49,12,3,7,generic
108,7,101,54,47,12,3,47,generic
108,11,97,54,43,12,3,43,generic
108,19,89,54,35,12,3,5×7,generic
108,29,79,54,25,12,3,5,generic
108,37,71,54,17,12,3,17,generic
108,41,67,54,13,12,3,13,generic
108,47,61,54,7,12,3,7,generic
110,3,107,55,52,12,5×11,13,small
110,7,103,55,48,12,5×11,3,generic
110,13,97,55,42,12,5×11,3×7,generic
110,31,79,55,24,12,5×11,3,generic
110,37,73,55,18,12,5×11,3,generic
110,43,67,55,12,12,5×11,3,generic
112,3,109,56,53,12,7,53,small
112,5,107,56,51,12,7,3×17,generic
112,11,101,56,45,12,7,3×5,generic
112,23,89,56,33,12,7,3×11,generic
112,29,83,56,27,12,7,3,generic
112,41,71,56,15,12,7,3×5,generic
112,53,59,56,3,12,7,3,generic
114,5,109,57,52,12,3×19,13,generic
114,7,107,57,50,12,3×19,5,generic
114,11,103,57,46,12,3×19,23,generic
